dt_in,dt_out,price_in,price_out,size,side,pnl,pnl_comm,barlen,tradeid,atr_entry,symbol,period_label,fast,slow,atr_mult
2025-01-22 11:59:00,2025-01-22 13:10:00,1843.95,1851.45,247.16348684421112,BUY,1853.7261513315834,1671.052561474764,71,731,1.4896085336596332,INFY,Jan-2025,120,180,0.0
2025-01-22 14:17:00,2025-01-22 15:03:00,1860.3,1856.05,245.84454738471436,BUY,-1044.839326385036,-1227.5682031196727,46,732,1.508019038475718,INFY,Jan-2025,120,180,0.0
2025-01-23 09:32:00,2025-01-23 10:23:00,1866.8,1866.5,244.3638427827407,BUY,-73.3091528348111,-255.76585968697228,51,733,2.75047901683601,INFY,Jan-2025,120,180,0.0
2025-01-23 11:26:00,2025-01-23 12:40:00,1871.0,1877.9,243.685432463986,BUY,1681.4294840015255,1498.719020448678,74,734,1.7173548242463583,INFY,Jan-2025,120,180,0.0
2025-01-23 14:41:00,2025-01-24 10:25:00,1866.95,1877.7,244.9766877578639,BUY,2633.4993933970372,2450.02900263454,119,735,1.376364918236178,INFY,Jan-2025,120,180,0.0
2025-01-24 11:02:00,2025-01-24 12:15:00,1879.75,1889.75,244.5467507711381,BUY,2445.467507711381,2261.10371230502,73,736,1.3443804394678447,INFY,Jan-2025,120,180,0.0
2025-01-24 14:09:00,2025-01-24 14:56:00,1882.3,1874.15,245.35663990263856,BUY,-1999.6566152064709,-2183.990605198924,47,737,1.462848926972159,INFY,Jan-2025,120,180,0.0
2025-01-27 10:13:00,2025-01-27 10:54:00,1857.55,1835.65,247.50882195030965,BUY,-5420.4432007117475,-5603.263116957124,41,738,2.476467185844358,INFY,Jan-2025,120,180,0.0
2025-01-27 11:23:00,2025-01-27 12:45:00,1845.8,1837.2,246.20051590242085,BUY,-2117.3244367607967,-2298.67573677452,82,739,1.7001489012577315,INFY,Jan-2025,120,180,0.0
2025-01-27 14:01:00,2025-01-27 14:07:00,1825.0,1817.3,247.80995633027538,BUY,-1908.1366637431317,-2088.6563045314842,6,740,1.9229830501019383,INFY,Jan-2025,120,180,0.0
2025-01-27 14:50:00,2025-01-28 10:18:00,1822.7,1842.8,247.03404115512575,BUY,4965.384227218005,4784.283571647183,103,741,1.8477582881743482,INFY,Jan-2025,120,180,0.0
2025-01-28 11:29:00,2025-01-28 12:33:00,1845.8,1848.1,246.40481970230388,BUY,566.7310853152877,384.6921326156197,64,742,2.1001089707739586,INFY,Jan-2025,120,180,0.0
2025-01-28 14:02:00,2025-01-28 15:06:00,1837.85,1825.5,247.66954524716235,BUY,-3058.7188838024326,-3240.178929518671,64,743,1.5142477488828257,INFY,Jan-2025,120,180,0.0
2025-01-29 09:25:00,2025-01-29 10:21:00,1866.85,1854.65,242.1733421268204,BUY,-2954.5147739471645,-3134.7643924921567,56,744,3.826600270727792,INFY,Jan-2025,120,180,0.0
2025-01-29 12:03:00,2025-01-29 14:40:00,1853.95,1875.6,242.25209826402389,BUY,5244.757927416084,5064.059664799966,157,745,1.6033979984023152,INFY,Jan-2025,120,180,0.0
2025-01-30 10:25:00,2025-01-30 11:12:00,1868.05,1859.85,242.99892093795512,BUY,-1992.591151691243,-2173.7662871641637,47,746,1.90153363496403,INFY,Jan-2025,120,180,0.0
2025-01-30 11:57:00,2025-01-30 13:06:00,1866.45,1865.0,242.10080971113135,BUY,-351.0461740811515,-531.7235873604717,69,747,2.274556662699332,INFY,Jan-2025,120,180,0.0
2025-02-01 10:45:00,2025-02-01 13:22:00,1885.8,1856.95,-251.88249018983987,SELL,7266.809841976858,7078.263203945253,157,748,1.2358625155406522,INFY,Feb-2025,120,180,0.0
2025-02-01 14:43:00,2025-02-03 09:48:00,1849.45,1847.45,-260.4689772871654,SELL,520.9379545743308,328.3524021477464,80,749,2.0391752440411715,INFY,Feb-2025,120,180,0.0
2025-02-03 13:53:00,2025-02-04 09:19:00,1865.7,1904.1,-258.36752148029603,SELL,-9921.312824843333,-10116.111601338616,101,750,1.785732274629114,INFY,Feb-2025,120,180,0.0
2025-02-04 10:20:00,2025-02-04 11:59:00,1896.2,1879.4,-249.14353908053826,SELL,4185.6114565530315,3997.4781873225356,99,751,1.534894723968421,INFY,Feb-2025,120,180,0.0
2025-02-04 14:24:00,2025-02-04 15:12:00,1891.3,1898.8,-251.7969561055746,SELL,-1888.4771707918094,-2079.344299458957,48,752,2.1230188731512305,INFY,Feb-2025,120,180,0.0
2025-02-05 10:09:00,2025-02-05 11:21:00,1900.45,1904.1,-249.545216131962,SELL,-910.8400388816273,-1100.7214892885986,72,753,1.8883467166068533,INFY,Feb-2025,120,180,0.0
2025-02-05 12:37:00,2025-02-05 14:30:00,1906.55,1899.95,-248.19832712657052,SELL,1638.1089590353429,1449.1555725938847,113,754,0.820662864610013,INFY,Feb-2025,120,180,0.0
2025-02-06 10:20:00,2025-02-06 11:38:00,1909.8,1909.9,-248.496815570807,SELL,-24.8496815571146,-214.68633884427692,78,755,1.8306312311491295,INFY,Feb-2025,120,180,0.0
2025-02-06 12:52:00,2025-02-06 13:56:00,1904.05,1904.9,-249.1401309604397,SELL,-211.76911131640773,-401.56157168076106,64,756,1.3886066429485258,INFY,Feb-2025,120,180,0.0
2025-02-07 09:24:00,2025-02-07 10:28:00,1907.15,1909.7,-248.53513507701462,SELL,-633.764594446376,-823.4888605101166,64,757,2.7070381081496055,INFY,Feb-2025,120,180,0.0
2025-02-07 11:28:00,2025-02-07 13:25:00,1911.2,1900.25,-247.59913585425065,SELL,2711.210537604056,2522.4681923337193,117,758,1.1729885519913983,INFY,Feb-2025,120,180,0.0
2025-02-07 13:57:00,2025-02-07 14:52:00,1894.55,1895.35,-251.03999009124115,SELL,-200.8319920729815,-391.1152837623405,55,759,1.2954223469001598,INFY,Feb-2025,120,180,0.0
2025-02-10 09:37:00,2025-02-10 10:40:00,1888.45,1891.6,-251.6541363063818,SELL,-792.7105293650683,-982.963572954056,63,760,3.035989913663901,INFY,Feb-2025,120,180,0.0
2025-02-10 11:54:00,2025-02-10 12:47:00,1886.05,1884.25,-251.47924939077993,SELL,452.66264890339244,263.0322061077809,53,761,1.3788006829601107,INFY,Feb-2025,120,180,0.0
2025-02-10 13:43:00,2025-02-10 14:00:00,1882.15,1885.2,-252.13310252067203,SELL,-769.0059626880383,-958.980691444289,17,762,1.0968143439601508,INFY,Feb-2025,120,180,0.0
2025-02-10 15:11:00,2025-02-11 09:23:00,1879.7,1895.8,-251.97706402745695,SELL,-4056.830730842034,-4247.098611889167,27,763,1.4337790619269861,INFY,Feb-2025,120,180,0.0
2025-02-11 10:27:00,2025-02-11 12:49:00,1895.0,1887.75,-247.81347945705332,SELL,1796.6477260636366,1609.1644381804028,142,764,1.6198597507099761,INFY,Feb-2025,120,180,0.0
2025-02-11 13:01:00,2025-02-11 14:04:00,1883.0,1872.15,-250.2045936204925,SELL,2714.7198407823207,2526.8086848355224,63,765,1.6429024816381037,INFY,Feb-2025,120,180,0.0
2025-02-12 10:11:00,2025-02-12 11:31:00,1881.2,1854.1,-251.72002872527165,SELL,6821.612778454896,6633.5628137953945,80,766,2.0592858861124097,INFY,Feb-2025,120,180,0.0
2025-02-12 13:13:00,2025-02-12 13:34:00,1855.4,1864.95,-258.6167956834573,SELL,-2469.7903987770055,-2662.2193979411954,21,767,1.3040554208039616,INFY,Feb-2025,120,180,0.0
2025-02-12 14:22:00,2025-02-12 15:18:00,1860.65,1863.7,-256.5278232247024,SELL,-782.4098608353306,-973.4897405207147,56,768,1.5300712118664836,INFY,Feb-2025,120,180,0.0
2025-02-13 09:42:00,2025-02-13 11:26:00,1857.3,1855.0,-256.49258548944596,SELL,589.9329466257141,399.49746160322,104,769,2.8242030870710857,INFY,Feb-2025,120,180,0.0
2025-02-13 12:25:00,2025-02-13 12:58:00,1850.4,1855.65,-257.6541297114521,SELL,-1352.6841809851235,-1543.6599984685488,33,770,0.9922933752973463,INFY,Feb-2025,120,180,0.0
2025-02-13 13:45:00,2025-02-13 15:21:00,1851.6,1845.0,-256.69514183383336,SELL,1694.1879361032768,1504.4080838426871,96,771,1.900354794781645,INFY,Feb-2025,120,180,0.0
2025-02-14 10:18:00,2025-02-14 11:47:00,1849.95,1834.75,-257.696647098125,SELL,3916.9890358915122,3727.08206877902,89,772,1.8731202872956283,INFY,Feb-2025,120,180,0.0
