symbol,avg_range,avg_volume,today_range,today_volume,range_dev,vol_dev,score,direction
MOTHERSON,1.09,1168299,0.79,1884394,-0.2732,0.6129,-0.0074,BUY
JIOFIN,3.26,2805892,3.6,1880213,0.1034,-0.3299,-0.0266,BUY
DRREDDY,11.04,95846,11.3,74331,0.0231,-0.2245,-0.0512,SELL
UNITDSPR,11.74,103941,12.0,79660,0.0221,-0.2336,-0.0546,SELL
RECLTD,3.48,712007,2.85,859188,-0.1804,0.2067,-0.0643,SELL
NIFTY BANK,212.7,0,190.4,0,-0.1048,0,-0.0734,SELL
GRASIM,20.38,39558,22.6,18636,0.1092,-0.5289,-0.0822,SELL
ADANIENSOL,8.22,110000,8.1,81893,-0.014,-0.2555,-0.0865,SELL
ONGC,1.64,652294,1.75,350795,0.0651,-0.4622,-0.0931,BUY
TITAN,29.13,119059,31.9,55342,0.0953,-0.5352,-0.0939,SELL
M&M,37.15,184242,30.0,201150,-0.1925,0.0918,-0.1072,BUY
EICHERMOT,43.8,28047,40.0,22237,-0.0868,-0.2072,-0.1229,BUY
TATAPOWER,3.7,682340,3.05,651428,-0.1757,-0.0453,-0.1366,BUY
INDHOTEL,6.68,289808,5.7,233306,-0.1464,-0.195,-0.161,SELL
ABB,54.4,23723,55.0,10169,0.011,-0.5713,-0.1637,SELL
HEROMOTOCO,46.8,55176,43.1,32903,-0.0791,-0.4037,-0.1764,SELL
GAIL,1.63,914018,1.44,604753,-0.1171,-0.3384,-0.1835,BUY
GODREJCP,12.98,144622,13.2,40537,0.0173,-0.7197,-0.2038,SELL
TVSMOTOR,25.69,46641,23.0,25687,-0.1047,-0.4493,-0.2081,BUY
BEL,3.89,2101726,3.55,964470,-0.0868,-0.5411,-0.2231,SELL
TATASTEEL,1.75,2946612,1.54,1374178,-0.1177,-0.5336,-0.2425,BUY
HDFCLIFE,8.8,302331,6.1,267751,-0.307,-0.1144,-0.2492,SELL
HINDUNILVR,19.35,164880,19.0,32068,-0.0178,-0.8055,-0.2541,SELL
DMART,51.8,65668,37.0,52569,-0.2858,-0.1995,-0.2599,SELL
ICICIGI,17.69,51828,13.4,35921,-0.2425,-0.3069,-0.2618,BUY
DABUR,4.56,193500,4.25,45815,-0.0685,-0.7632,-0.2769,SELL
DIVISLAB,59.5,32836,52.0,10810,-0.1261,-0.6708,-0.2895,BUY
NIFTY 50,76.43,0,44.8,0,-0.4139,0,-0.2897,SELL
BOSCHLTD,383.25,5192,310.0,2158,-0.1911,-0.5843,-0.3091,BUY
INFY,15.85,684276,11.4,415037,-0.2808,-0.3935,-0.3146,SELL
BANKBARODA,2.64,837031,2.0,385351,-0.242,-0.5396,-0.3313,BUY
NAUKRI,17.95,103450,11.9,68485,-0.3369,-0.338,-0.3372,BUY
JINDALSTEL,9.55,140889,5.9,105026,-0.3824,-0.2545,-0.344,SELL
SHRIRAMFIN,8.28,582928,4.15,562594,-0.4991,-0.0349,-0.3598,BUY
LICI,6.66,87664,4.6,45616,-0.3088,-0.4797,-0.36,SELL
SIEMENS,38.38,65266,30.7,15480,-0.2001,-0.7628,-0.3689,SELL
ULTRACEMCO,95.8,19641,63.0,11055,-0.3424,-0.4371,-0.3708,BUY
LT,26.17,105357,15.0,79294,-0.4268,-0.2474,-0.373,SELL
HINDALCO,5.9,381761,3.7,231316,-0.3731,-0.3941,-0.3794,BUY
HDFCBANK,13.86,772433,9.9,309907,-0.2855,-0.5988,-0.3795,SELL
JSWENERGY,5.68,382971,3.75,199257,-0.3395,-0.4797,-0.3816,BUY
BAJAJFINSV,20.43,87425,13.7,38906,-0.3293,-0.555,-0.397,SELL
INDIGO,61.02,91194,44.5,26791,-0.2708,-0.7062,-0.4014,SELL
SBILIFE,16.02,54138,10.0,28093,-0.3758,-0.4811,-0.4074,SELL
PFC,3.72,624269,2.6,200480,-0.3011,-0.6789,-0.4144,SELL
BPCL,4.01,580830,2.75,189461,-0.3138,-0.6738,-0.4218,SELL
INDUSINDBK,12.8,618839,7.35,354557,-0.4259,-0.4271,-0.4262,BUY
CIPLA,11.49,91281,7.4,33276,-0.356,-0.6355,-0.4398,BUY
ICICIPRULI,8.15,160192,5.6,34179,-0.3127,-0.7866,-0.4549,BUY
PNB,1.17,2652491,0.62,1518115,-0.4687,-0.4277,-0.4564,BUY
POWERGRID,2.42,586581,1.4,249215,-0.4215,-0.5751,-0.4676,SELL
TCS,24.26,316728,13.7,140120,-0.4353,-0.5576,-0.472,BUY
VBL,4.52,639367,2.55,281092,-0.4362,-0.5604,-0.4734,SELL
TECHM,17.78,310357,11.0,81266,-0.3813,-0.7382,-0.4884,SELL
WIPRO,3.36,1605719,1.9,563191,-0.4344,-0.6493,-0.4988,SELL
ZYDUSLIFE,8.77,68705,4.65,28835,-0.4698,-0.5803,-0.5029,SELL
IOC,1.56,1518085,0.82,626491,-0.4739,-0.5873,-0.5079,SELL
JSWSTEEL,10.28,157936,5.7,46968,-0.4453,-0.7026,-0.5225,SELL
HCLTECH,17.49,375766,9.7,100492,-0.4454,-0.7326,-0.5315,SELL
KOTAKBANK,19.94,295760,10.8,76603,-0.4582,-0.741,-0.5431,SELL
SUNPHARMA,14.83,160250,7.7,39904,-0.4808,-0.751,-0.5618,SELL
CGPOWER,7.78,300556,3.35,126577,-0.5691,-0.5789,-0.572,BUY
TORNTPHARM,41.25,91041,22.7,10917,-0.4498,-0.8801,-0.5789,BUY
AXISBANK,10.72,943272,4.4,318030,-0.5896,-0.6628,-0.6115,BUY
TRENT,53.45,124928,23.5,26290,-0.5603,-0.7896,-0.6291,SELL
VEDL,4.71,881330,2.15,145542,-0.5433,-0.8349,-0.6308,BUY
LTIM,58.23,32797,24.0,6987,-0.5878,-0.787,-0.6476,SELL
APOLLOHOSP,59.55,54739,22.5,8479,-0.6222,-0.8451,-0.689,BUY
