dt_in,dt_out,price_in,price_out,size,side,pnl,pnl_comm,barlen,tradeid,atr_entry,atr_pct,mae_abs,mae_pct,mfe_abs,mfe_pct,ret_pct,symbol,period_label,fast,mid1,mid2,mid3,sl_mode,sl_value,tg_mode,tg1,tg2,tg3,trail_type,use_sl_tg,use_trailing,use_signal_exit,reentry_cooldown,atr_mean
2025-07-07 09:18:00,2025-07-08 09:34:00,1635.7,1626.9,-1.0,SELL,8.799999999999955,8.147479999999954,391,0,2.645710826682245,0.0016174792606726447,8.200000000000045,0.005013144219600199,20.200000000000045,0.01234945283364923,0.004981035642232655,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-08 11:33:00,2025-07-09 11:10:00,1630.9,1623.9,1.0,BUY,-7.0,-7.6509599999999995,352,0,0.9563224870577838,0.0005863771457831772,7.600000000000136,0.004660003678950356,12.899999999999864,0.007909743086639194,-0.004691250229934391,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-09 11:24:00,2025-07-09 11:28:00,1628.6,1628.6,-1.0,SELL,0.0,-0.65144,4,0,0.8876266811876188,0.0005450243652140605,1.2000000000000455,0.000736829178435494,0.5,0.0003070121576814442,-0.0004,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-09 11:37:00,2025-07-09 12:23:00,1629.3,1624.8,1.0,BUY,-4.5,-5.1508199999999995,46,0,0.8219325979265351,0.0005044697710222397,5.399999999999864,0.0033143067575031387,0.0,0.0,-0.0031613699134597677,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-09 12:25:00,2025-07-10 14:15:00,1625.0,1596.2,-1.0,SELL,28.799999999999955,28.155759999999955,485,0,0.8259521458280453,0.0005082782435864894,1.099999999999909,0.000676923076923021,34.90000000000009,0.021476923076923133,0.017326621538461512,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-10 15:17:00,2025-07-11 09:31:00,1600.4,1591.7,1.0,BUY,-8.700000000000045,-9.338420000000045,29,0,1.0273016767381353,0.0006419030721932863,22.600000000000136,0.014121469632591937,3.0,0.0018745313671582103,-0.005835053736565887,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-11 09:39:00,2025-07-11 09:46:00,1594.6,1593.9,-1.0,SELL,0.6999999999998181,0.06229999999981817,7,0,3.636809220698101,0.0022807031360203823,7.100000000000136,0.00445252727956863,1.0,0.0006271165182490907,3.906935908680432e-05,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-11 10:25:00,2025-07-11 11:37:00,1596.1,1585.2,1.0,BUY,-10.899999999999864,-11.536259999999864,72,0,2.402575283200191,0.0015052786687552104,11.099999999999909,0.006954451475471405,1.1000000000001364,0.0006891798759477079,-0.007227780214272204,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-11 14:14:00,2025-07-14 09:39:00,1590.7,1587.1,1.0,BUY,-3.6000000000001364,-4.235560000000136,100,0,1.6220658210024907,0.00101971825045734,11.200000000000045,0.007040925378764095,16.299999999999955,0.01024706104230839,-0.0026627019551141865,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-14 09:40:00,2025-07-14 10:07:00,1586.4,1585.8,-1.0,SELL,0.6000000000001364,-0.03443999999986358,27,0,2.813007951541491,0.0017732021883141017,3.599999999999909,0.0022692889561270226,7.800000000000182,0.004916792738275454,-2.170953101352974e-05,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-14 10:50:00,2025-07-14 11:21:00,1583.5,1580.2,1.0,BUY,-3.2999999999999545,-3.9327399999999546,31,0,1.7654959974280517,0.0011149327422974751,3.5,0.0022102936532996525,1.2999999999999545,0.0008209662140826994,-0.002483574360593593,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-14 11:22:00,2025-07-14 13:53:00,1579.2,1576.0,-1.0,SELL,3.2000000000000455,2.5689600000000454,151,0,1.2057845245480583,0.0007635413655952749,1.2999999999999545,0.0008232016210739327,15.100000000000136,0.009561803444782255,0.0016267477203647704,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-14 14:22:00,2025-07-15 10:00:00,1580.3,1566.8,1.0,BUY,-13.5,-14.12942,113,0,1.1951041846350825,0.0007562514615168528,27.299999999999955,0.01727520091121936,14.600000000000136,0.00923875213567053,-0.008940973232930456,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-15 10:01:00,2025-07-15 10:43:00,1567.2,1581.1,-1.0,SELL,-13.899999999999864,-14.529659999999863,42,0,2.342732207634504,0.0014948520977759725,16.5,0.01052833078101072,3.400000000000091,0.0021694742215416607,-0.009271094946401137,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-15 10:44:00,2025-07-15 13:26:00,1587.5,1575.1,1.0,BUY,-12.400000000000091,-13.03252000000009,162,0,3.0522211962775163,0.0019226590212771757,14.200000000000045,0.008944881889763808,4.0,0.0025196850393700786,-0.008209461417322891,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-15 13:28:00,2025-07-15 13:32:00,1576.4,1572.8,-1.0,SELL,3.6000000000001364,2.9701600000001362,4,0,1.1610927774589113,0.0007365470549726663,0.3999999999998636,0.00025374270489714765,3.6000000000001364,0.0022836843440751944,0.001884141080944009,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-15 13:35:00,2025-07-15 14:02:00,1572.0,1584.9,-1.0,SELL,-12.900000000000091,-13.531380000000091,27,0,1.3062901702324508,0.0008309733907331112,14.0,0.008905852417302799,1.900000000000091,0.001208651399491152,-0.00860774809160311,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-15 14:19:00,2025-07-15 15:00:00,1581.7,1573.9,1.0,BUY,-7.7999999999999545,-8.431119999999954,41,0,1.8677085650307728,0.001180823522179157,9.400000000000091,0.005942972750837764,0.09999999999990905,6.322311437055639e-05,-0.005330416640323673,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-15 15:26:00,2025-07-17 09:27:00,1583.8,1593.0,1.0,BUY,9.200000000000045,8.564640000000045,391,0,1.2486707377501605,0.0007884017791073119,11.5,0.0072610178052784444,27.200000000000045,0.01717388559161513,0.00540765248137394,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-17 09:28:00,2025-07-18 14:16:00,1583.1,1546.5,-1.0,SELL,36.59999999999991,35.97407999999991,663,0,5.357103545932,0.003383932503273325,9.900000000000091,0.006253553155201877,45.09999999999991,0.028488408818141565,0.02272382035247294,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-18 14:32:00,2025-07-21 09:31:00,1544.4,1536.5,1.0,BUY,-7.900000000000091,-8.516180000000091,74,0,1.0391938048796234,0.0006728786615382177,13.100000000000136,0.00848225848225857,7.5,0.004856254856254856,-0.005514232064232123,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-21 09:34:00,2025-07-21 10:09:00,1534.9,1543.5,-1.0,SELL,-8.599999999999909,-9.215679999999908,35,0,2.1041435360542966,0.0013708668552050926,9.0,0.005863574174213303,2.800000000000182,0.0018242230764220352,-0.0060040914717570575,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-21 10:16:00,2025-07-22 14:48:00,1545.2,1542.0,1.0,BUY,-3.2000000000000455,-3.8174400000000457,647,0,1.3087575481337963,0.0008469826224008518,8.0,0.0051773233238415735,8.200000000000045,0.005306756406937643,-0.002470515143670752,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
2025-07-22 15:03:00,2025-07-22 15:05:00,1547.3,1546.9,-1.0,SELL,0.3999999999998636,-0.21884000000013648,2,0,1.205867483914532,0.0007793365759158096,0.6000000000001364,0.000387772248432842,0.7000000000000455,0.00045240095650490885,-0.00014143346474512796,TECHM,Jul-25,80,220,560,1520,OFF,0.0,OFF,0.0,0.0,0.0,NONE,False,False,True,0,1.3626762747858496
