symbol,total_bars,opening_bars,history_bars,today_time,avg_range,avg_volume,status
EICHERMOT,500,20,19,2025-07-24 09:15:00,43.81578947368421,27227.052631578947,included
ETERNAL,500,20,19,2025-07-24 09:15:00,3.707894736842108,3690205.1578947366,included
GAIL,500,20,19,2025-07-24 09:15:00,1.6536842105263105,903843.1578947369,included
GODREJCP,500,20,19,2025-07-24 09:15:00,13.194736842105277,149604.57894736843,included
GRASIM,500,20,19,2025-07-24 09:15:00,19.284210526315793,31004.473684210527,included
HAL,500,20,19,2025-07-24 09:15:00,45.63684210526318,133710.15789473685,included
HAVELLS,500,20,19,2025-07-24 09:15:00,16.178947368421056,92022.0,included
HCLTECH,500,20,19,2025-07-24 09:15:00,17.27368421052634,382629.3157894737,included
HDFCBANK,500,20,19,2025-07-24 09:15:00,14.12105263157897,728103.5789473684,included
HDFCLIFE,500,20,19,2025-07-24 09:15:00,8.665789473684208,300980.84210526315,included
HEROMOTOCO,500,20,19,2025-07-24 09:15:00,46.831578947368335,51733.31578947369,included
HINDALCO,500,20,19,2025-07-24 09:15:00,5.697368421052643,336623.2105263158,included
HINDUNILVR,500,20,19,2025-07-24 09:15:00,20.12631578947369,165632.8947368421,included
ICICIBANK,500,20,19,2025-07-24 09:15:00,9.573684210526357,669127.2105263158,included
ICICIGI,500,20,19,2025-07-24 09:15:00,17.24736842105267,52699.10526315789,included
ICICIPRULI,500,20,19,2025-07-24 09:15:00,8.199999999999998,163644.0,included
INDHOTEL,500,20,19,2025-07-24 09:15:00,6.407894736842123,269226.3157894737,included
INDIGO,500,20,19,2025-07-24 09:15:00,60.921052631578945,87100.0,included
INDUSINDBK,500,20,19,2025-07-24 09:15:00,13.252631578947373,629638.7368421053,included
INFY,500,20,19,2025-07-24 09:15:00,16.16842105263162,695254.4736842106,included
IOC,500,20,19,2025-07-24 09:15:00,1.6010526315789422,1518758.8421052631,included
IRFC,500,20,19,2025-07-24 09:15:00,1.4700000000000017,1955108.3157894737,included
ITC,500,20,19,2025-07-24 09:15:00,1.8447368421052548,489178.15789473685,included
JINDALSTEL,500,20,19,2025-07-24 09:15:00,9.515789473684203,144914.36842105264,included
JIOFIN,500,20,19,2025-07-24 09:15:00,3.247368421052631,2719446.3684210526,included
JSWENERGY,500,20,19,2025-07-24 09:15:00,5.478947368421051,330527.2631578947,included
JSWSTEEL,500,20,19,2025-07-24 09:15:00,10.002631578947373,138062.05263157896,included
KOTAKBANK,500,20,19,2025-07-24 09:15:00,19.36842105263172,275855.1052631579,included
LICI,500,20,19,2025-07-24 09:15:00,6.502631578947384,85114.73684210527,included
LODHA,500,20,19,2025-07-24 09:15:00,18.842105263157872,783571.8421052631,included
LT,500,20,19,2025-07-24 09:15:00,25.931578947368386,100399.05263157895,included
LTIM,500,20,19,2025-07-24 09:15:00,56.421052631578945,33180.31578947369,included
M&M,500,20,19,2025-07-24 09:15:00,37.91052631578946,181771.47368421053,included
MARUTI,500,20,19,2025-07-24 09:15:00,97.05263157894737,19548.63157894737,included
MOTHERSON,500,20,19,2025-07-24 09:15:00,1.0699999999999992,1197973.5789473683,included
NAUKRI,500,20,19,2025-07-24 09:15:00,17.452631578947365,105175.63157894737,included
NESTLEIND,500,20,19,2025-07-24 09:15:00,18.7684210526316,35852.15789473684,included
NIFTY 50,500,20,19,2025-07-24 09:15:00,74.82105263157906,0.0,included
NIFTY BANK,500,20,19,2025-07-24 09:15:00,214.86842105263196,0.0,included
NTPC,500,20,19,2025-07-24 09:15:00,2.1973684210526288,529666.8421052631,included
ONGC,500,20,19,2025-07-24 09:15:00,1.6505263157894745,591284.7368421053,included
PFC,500,20,19,2025-07-24 09:15:00,3.765789473684208,625109.7894736842,included
PIDILITIND,500,20,19,2025-07-24 09:15:00,20.331578947368477,15845.473684210527,included
PNB,500,20,19,2025-07-24 09:15:00,1.1889473684210528,2708190.736842105,included
POWERGRID,500,20,19,2025-07-24 09:15:00,2.378947368421049,540002.947368421,included
RECLTD,500,20,19,2025-07-24 09:15:00,3.5342105263157912,728161.6315789474,included
RELIANCE,500,20,19,2025-07-24 09:15:00,11.06315789473688,785418.4210526316,included
SBILIFE,500,20,19,2025-07-24 09:15:00,15.421052631578995,50824.21052631579,included
SBIN,500,20,19,2025-07-24 09:15:00,5.150000000000001,1278521.0,included
SHREECEM,500,20,19,2025-07-24 09:15:00,287.10526315789474,1871.0,included
SHRIRAMFIN,500,20,19,2025-07-24 09:15:00,8.057894736842101,557853.1578947369,included
SIEMENS,500,20,19,2025-07-24 09:15:00,37.50526315789478,63347.63157894737,included
SUNPHARMA,500,20,19,2025-07-24 09:15:00,14.536842105263148,158196.94736842104,included
TATACONSUM,500,20,19,2025-07-24 09:15:00,10.336842105263187,50097.68421052631,included
TATAMOTORS,500,20,19,2025-07-24 09:15:00,6.5631578947368565,944049.6842105263,included
TATAPOWER,500,20,19,2025-07-24 09:15:00,3.6657894736842005,692874.052631579,included
TATASTEEL,500,20,19,2025-07-24 09:15:00,1.7399999999999956,2795596.1578947366,included
TCS,500,20,19,2025-07-24 09:15:00,24.342105263157944,321488.7894736842,included
TECHM,500,20,19,2025-07-24 09:15:00,18.052631578947405,315874.3157894737,included
TITAN,500,20,19,2025-07-24 09:15:00,27.794736842105284,105701.21052631579,included
TORNTPHARM,500,20,19,2025-07-24 09:15:00,39.14210526315791,94262.21052631579,included
TRENT,500,20,19,2025-07-24 09:15:00,52.28947368421053,125158.21052631579,included
TVSMOTOR,500,20,19,2025-07-24 09:15:00,25.815789473684234,41237.10526315789,included
ULTRACEMCO,500,20,19,2025-07-24 09:15:00,89.10526315789474,18068.894736842107,included
UNITDSPR,500,20,19,2025-07-24 09:15:00,11.547368421052647,96120.26315789473,included
VBL,500,20,19,2025-07-24 09:15:00,4.392105263157906,615726.2631578947,included
VEDL,500,20,19,2025-07-24 09:15:00,4.6105263157894685,872569.0,included
WIPRO,500,20,19,2025-07-24 09:15:00,3.357894736842109,1636857.0526315789,included
ZYDUSLIFE,500,20,19,2025-07-24 09:15:00,8.773684210526318,68791.84210526316,included
