"id","symbol","frequency","candle_time","open","high","low","close","volume","oi","active"
270647,AXISBANK,1,"2025-07-03 11:40:00",1175.10,1175.10,1174.40,1174.80,4628.00,0.00,1
270648,AXISBANK,1,"2025-07-03 11:41:00",1174.50,1174.70,1173.90,1174.70,7988.00,0.00,1
270649,AXISBANK,1,"2025-07-03 11:42:00",1174.70,1174.70,1172.20,1173.10,24582.00,0.00,1
270650,AXISBANK,1,"2025-07-03 11:43:00",1173.10,1173.20,1172.20,1173.20,7918.00,0.00,1
270651,AXISBANK,1,"2025-07-03 11:44:00",1172.50,1173.50,1172.50,1173.10,4052.00,0.00,1
270652,AXISBANK,1,"2025-07-03 11:45:00",1173.40,1173.40,1172.50,1172.80,4994.00,0.00,1
270653,AXISBANK,1,"2025-07-03 11:46:00",1172.60,1173.10,1172.20,1173.10,4900.00,0.00,1
270654,AXISBANK,1,"2025-07-03 11:47:00",1172.80,1173.00,1172.00,1172.20,9269.00,0.00,1
270655,AXISBANK,1,"2025-07-03 11:48:00",1172.30,1172.50,1172.00,1172.30,8490.00,0.00,1
270656,AXISBANK,1,"2025-07-03 11:49:00",1172.50,1173.00,1172.50,1172.80,6213.00,0.00,1
270657,AXISBANK,1,"2025-07-03 11:50:00",1172.80,1173.00,1172.10,1172.60,4495.00,0.00,1
270658,AXISBANK,1,"2025-07-03 11:51:00",1172.60,1173.10,1172.50,1173.10,4139.00,0.00,1
270659,AXISBANK,1,"2025-07-03 11:52:00",1173.10,1173.70,1172.70,1173.70,3340.00,0.00,1
270660,AXISBANK,1,"2025-07-03 11:53:00",1173.70,1173.80,1173.00,1173.50,3558.00,0.00,1
270661,AXISBANK,1,"2025-07-03 11:54:00",1173.40,1173.50,1172.70,1173.10,4486.00,0.00,1
270662,AXISBANK,1,"2025-07-03 11:55:00",1173.10,1173.70,1172.80,1173.00,5204.00,0.00,1
270663,AXISBANK,1,"2025-07-03 11:56:00",1173.10,1173.90,1173.10,1173.30,3621.00,0.00,1
270664,AXISBANK,1,"2025-07-03 11:57:00",1173.10,1173.90,1173.00,1173.50,3705.00,0.00,1
270665,AXISBANK,1,"2025-07-03 11:58:00",1173.50,1173.90,1173.20,1173.50,3402.00,0.00,1
270666,AXISBANK,1,"2025-07-03 11:59:00",1173.20,1173.60,1172.60,1173.60,2689.00,0.00,1
270667,AXISBANK,1,"2025-07-03 12:00:00",1173.50,1173.70,1172.90,1173.40,3855.00,0.00,1
270668,AXISBANK,1,"2025-07-03 12:01:00",1173.40,1174.00,1173.00,1173.30,4567.00,0.00,1
