stage,fast,mid1,mid2,mid3,sharpe,expectancy,won,lost
stage2,160,1600,480,640,0.002969,0.489259,58,77
stage2,160,1600,480,800,-0.001009,-0.384836,40,82
stage2,160,160,320,640,0.002646,0.425887,60,81
stage2,160,160,320,800,-0.007536,-2.168605,41,88
stage2,160,160,480,640,0.001993,0.289643,60,80
stage2,160,160,480,800,-0.006314,-1.899213,42,85
stage2,160,320,320,640,0.002646,0.425887,60,81
stage2,160,320,320,800,-0.007536,-2.168605,41,88
stage2,160,320,480,640,0.001993,0.289643,60,80
stage2,160,320,480,800,-0.006314,-1.899213,42,85
stage2,160,480,320,640,0.002646,0.425887,60,81
stage2,160,480,320,800,-0.007536,-2.168605,41,88
stage2,160,480,480,640,0.001993,0.289643,60,80
stage2,160,480,480,800,-0.006314,-1.899213,42,85
